Property Link,Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Lot Size,Units,Price/Unit,NOI,Cap Rate,Asking Price,Price/SqFt,Price/Acre,Days on Market,Opportunity Zone,Longitude,Latitude
https://www.crexi.com/properties/2163394/new-york-yonkers-business-area,Yonkers Business Area,On-Market,"Mixed Use, Multifamily, Retail","490 South Broadway, Yonkers",Yonkers,NY,10705,,,,34074.0,,22.0,,,,8300000.0,243.587486059752,,44.0,No,-73.89666,40.9162499
https://www.crexi.com/properties/791947/new-york-3162-villa-ave,3162 Villa Ave,On-Market,Multifamily,3162 Villa Ave,Bronx,NY,10468,,,,49000.0,,66.0,,2500000.0,,25000000.0,510.204081632653,,1303.0,No,-73.8869121,40.8760184
https://www.crexi.com/properties/1924569/new-york-2230-tiebout-ave,2230 Tiebout Ave,On-Market,Multifamily,2230 Tiebout Ave,The Bronx,NY,10457,,,,37260.0,,41.0,85000.0,257559.0,7.37,3495000.0,94.0,,159.0,No,-73.897715,40.855302
https://www.crexi.com/properties/720349/new-york-6-e-sidney-avenue,6 East Sidney Avenue,On-Market,"Mixed Use, Multifamily, Retail",6 E Sidney Ave,Mt Vernon,NY,10550,Multi,,3.0,27000.0,0.17,30.0,,529717.0,8.87,5975000.0,221.296296296296,35147058.8235294,1396.0,No,-73.8369829,40.9142591
https://www.crexi.com/properties/1820356/new-york-251-253-s-fifth-ave-mount-vernon,"251-253 S Fifth Ave, Mount Vernon",On-Market,Multifamily,251 S 5th Ave,Mount Vernon,NY,10550,,,,5890.0,,6.0,183333.33,,,1100000.0,186.76,,228.0,Yes,-73.835456815982,40.9047626486071
https://www.crexi.com/properties/1701405/new-york-211-w-252nd-st,211 W 252nd St,On-Market,Multifamily,211 W 252nd St,The Bronx,NY,10471,,,,5374.0,,5.0,470000.0,120744.0,5.14,2350000.0,437.0,,346.0,No,-73.8977056,40.8980109
https://www.crexi.com/properties/2143575/new-york-93-e-233rd-st,93 E 233rd St,On-Market,Multifamily,93 E 233rd St,The Bronx,NY,10470,,,,4875.0,,7.0,,,,875000.0,179.487179487179,,60.0,No,-73.8728606,40.8963422
https://www.crexi.com/properties/1827665/new-york-mec-new-rochelle-,MEC  New Rochelle ,On-Market,Multifamily,"Main, Everett, Charles",New Rochelle,NY,10805,,,,14000.0,,17.0,,,,5000000.0,357.142857142857,,219.0,No,-73.7869243,40.905397
https://www.crexi.com/properties/2188166/new-york-690-east-189th-street,690 East 189th Street,On-Market,Multifamily,690 East 189th Street,Bronx,NY,10458,,,,32560.0,,36.0,,,,3335000.0,102.42628992629,,21.0,Yes,-73.8836058,40.8560084
https://www.crexi.com/properties/1958930/new-york-123-s-1st-ave-mount-vernon-ny-10550-3587,"123 S 1st Ave, Mount Vernon, NY 10550-3587",On-Market,Multifamily,123 S 1st Ave,Mount Vernon,NY,10550,,,,,0.15,7.0,,144400.0,7.22,2000000.0,,13333333.3333333,130.0,No,-73.832714,40.9089036
